threshold	precision	recall	F1
0.09870318723339978	0.24299870745368377	0.986013986013986	0.3899066712754926
0.0987032271818826	0.24310344827586206	0.986013986013986	0.3900414937759336
0.09870341033634077	0.24320827943078913	0.986013986013986	0.3901764095468696
0.098703488414449	0.24331320103537532	0.986013986013986	0.3903114186851211
0.09870352992435175	0.24341821320673285	0.986013986013986	0.3904465212876428
0.0987036835206258	0.24352331606217617	0.986013986013986	0.3905817174515236
0.09870384807818679	0.24362850971922245	0.986013986013986	0.3907170072739869
0.0987039628059349	0.24373379429559205	0.986013986013986	0.3908523908523909
0.0987041507344067	0.2438391699092088	0.986013986013986	0.39098786828422877
0.09870434388254164	0.24394463667820068	0.986013986013986	0.391123439667129
0.09870436431725652	0.24405019472090003	0.986013986013986	0.39125910509885536
0.09870454142063351	0.24415584415584415	0.986013986013986	0.39139486467730744
0.09870487350392576	0.24426158510177565	0.986013986013986	0.3915307185005207
0.0987050493062486	0.24436741767764297	0.986013986013986	0.39166666666666666
0.09870536230554616	0.2444733420026008	0.986013986013986	0.3918027092740535
0.09870554365152713	0.2445793581960104	0.986013986013986	0.3919388464211258
0.09870555373989956	0.24468546637744035	0.986013986013986	0.3920750782064651
0.09870559053803628	0.2443576388888889	0.9842657342657343	0.39151599443671764
0.09870575001110772	0.2444637429439861	0.9842657342657343	0.39165217391304347
0.09870591225785937	0.24456993918331885	0.9842657342657343	0.3917884481558803
0.09870604695197088	0.24467622772707517	0.9842657342657343	0.39192481726418377
0.09870637259880269	0.2447826086956522	0.9842657342657343	0.3920612813370474
0.09870642849910352	0.24488908220965638	0.9842657342657343	0.39219784047370254
0.09870645706711025	0.24499564838990426	0.9842657342657343	0.39233449477351917
0.09870649110145654	0.24510230735742272	0.9842657342657343	0.3924712443360056
0.0987070387106046	0.2452090592334495	0.9842657342657343	0.3926080892608089
0.09870744043977071	0.24531590413943355	0.9842657342657343	0.3927450296477154
0.09870761586308954	0.24542284219703575	0.9842657342657343	0.39288206559665034
0.09870766763949165	0.24552987352812908	0.9842657342657343	0.39301919720767886
0.09870770471396731	0.2456369982547993	0.9842657342657343	0.3931564245810055
0.09870780445632783	0.24574421649934527	0.9842657342657343	0.39329374781697524
0.09870795891552671	0.24585152838427948	0.9842657342657343	0.3934311670160727
0.09870808929321477	0.24595893403232852	0.9842657342657343	0.3935686822789234
0.09870810316981053	0.24606643356643357	0.9842657342657343	0.3937062937062937
0.09870864367632548	0.24617402710975075	0.9842657342657343	0.3938440013990906
0.09870873538935425	0.2462817147856518	0.9842657342657343	0.3939818054583625
0.09870893510610862	0.24660534384581692	0.9842657342657343	0.3943957968476357
0.09870895245258438	0.2467134092900964	0.9842657342657343	0.3945339873861248
0.09870899305969841	0.24682156948706707	0.9842657342657343	0.39467227479845773
0.09870910224222831	0.2469298245614035	0.9842657342657343	0.3948106591865358
0.09870910749800899	0.24703817463799913	0.9842657342657343	0.39494914065240266
0.09870932711846896	0.24714661984196665	0.9842657342657343	0.39508771929824565
0.09870937198776317	0.24725516029863856	0.9842657342657343	0.3952263952263953
0.0987095370323919	0.24747252747252746	0.9842657342657343	0.3955040393396558
0.09870960116408534	0.24758135444151275	0.9842657342657343	0.39564300773014754
0.09870970004129542	0.24769027716674	0.9842657342657343	0.3957820738137082
0.098709734360798	0.24779929577464788	0.9842657342657343	0.39592123769338955
0.09870974210479784	0.24790841039189784	0.9842657342657343	0.3960604994723883
0.09871010782271171	0.24801762114537446	0.9842657342657343	0.39619985925404644
0.09871032189271015	0.24812692816218598	0.9842657342657343	0.39633931714185144
0.0987105590249472	0.2482363315696649	0.9842657342657343	0.39647887323943665
0.09871076455952849	0.24834583149536832	0.9842657342657343	0.3966185276505812
0.09871077594667126	0.24845542806707854	0.9842657342657343	0.39675828047921075
0.09871082580266649	0.24856512141280354	0.9842657342657343	0.3968981318293972
0.09871097097172149	0.24867491166077738	0.9842657342657343	0.3970380818053597
0.09871099475650001	0.2487847989394609	0.9842657342657343	0.3971781305114639
0.09871103392119378	0.248894783377542	0.9842657342657343	0.39731827805222303
0.0987111403358592	0.24900486510393632	0.9842657342657343	0.3974585245322979
0.09871131981157118	0.24922532093846836	0.9842657342657343	0.39773931472977747
0.09871133746493556	0.24933569530558017	0.9842657342657343	0.39787985865724385
0.09871144965752461	0.24944616747895437	0.9842657342657343	0.3980205019441499
0.0987114878757961	0.2495567375886525	0.9842657342657343	0.3981612446958982
0.09871154616469925	0.24966740576496674	0.9842657342657343	0.3983020870180403
0.09871155859275144	0.24977817213842057	0.9842657342657343	0.3984430290162774
0.09871168692188706	0.2498890368397692	0.9842657342657343	0.3985840707964602
0.09871211170787564	0.25	0.9842657342657343	0.39872521246458925
0.09871227824433318	0.2501110617503332	0.9842657342657343	0.3988664541268155
0.09871230359430454	0.25022222222222223	0.9842657342657343	0.39900779588944013
0.09871230780443083	0.25033348154735435	0.9842657342657343	0.39914923785891526
0.098712312256665	0.25044483985765126	0.9842657342657343	0.399290780141844
0.09871251780550028	0.25055629728526924	0.9842657342657343	0.3994324228449805
0.09871255503464704	0.25066785396260016	0.9842657342657343	0.39957416607523066
0.09871265528957693	0.2507795100222717	0.9842657342657343	0.3997160099396521
0.09871285818673622	0.25089126559714797	0.9842657342657343	0.3998579545454546
0.09871305497394678	0.25100312082032994	0.9842657342657343	0.4
0.09871308645512562	0.25111507582515613	0.9842657342657343	0.40014214641080315
0.09871322879848983	0.25122713074520303	0.9842657342657343	0.40028439388553144
0.09871326239081137	0.2513392857142857	0.9842657342657343	0.4004267425320057
0.09871332955839694	0.25145154086645827	0.9842657342657343	0.4005691924582
0.09871359441668996	0.2515638963360143	0.9842657342657343	0.400711743772242
0.09871363609022978	0.25178890876565296	0.9842657342657343	0.400997150997151
0.09871370304119541	0.2519015659955257	0.9842657342657343	0.40114000712504455
0.09871377790860882	0.25201432408236346	0.9842657342657343	0.40128296507483957
0.09871407557749069	0.25212718316166594	0.9842657342657343	0.4014260249554368
0.09871414659236404	0.2522401433691756	0.9842657342657343	0.4015691868758916
